T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
11.6,19.2,5,61,0,2.1,4.4,14.8,255.875
11.5,21.3,2.8,42,0,2.4,3.5,11.1,217.08333333333334
13.4,21.3,5.5,48,0,2.3,2.2,7.6,229.16666666666666
13.2,21.3,5.2,47,0,1.8,4.1,9.4,298.4583333333333
15.2,22.1,5.7,46,0,2.7,10.9,18.3,264.9166666666667
14,22.1,7.6,59,0,1.8,8.1,16.5,404.5
14.5,20.6,7,65,0,1.9,6.3,14.8,188.5
15.1,22,7.8,62,0,2.3,7.6,14.8,164.75
13.1,22,7,73,0,2.1,5.9,14.8,376.9166666666667
12,19.2,7.6,80,0,1.4,7.2,14.8,0.0
13.7,19.4,4.8,78,0,2.3,13.5,22.2,0.0
14.1,19.4,12.9,99,3.05,1.1,12.4,18.3,57.0
13.9,21,8,87,0,1.8,5.4,11.1,202.91666666666666
15.7,23,5.4,67,0,3.2,4.6,13,205.125
16.7,25.8,9.8,62,0,2.1,4.6,11.1,214.125
17,26.2,10.2,68,0,2.4,7.6,13,315.7916666666667
15.1,26,9,78,0,1.8,8.5,11.1,322.25
16.5,25,10.1,67,0,2.6,3.7,9.4,246.04166666666666
18.8,26.6,10,66,0,3.1,4.4,13,200.91666666666666
19.5,28.2,13,59,0.25,3.1,13.7,33.5,99.5
16.9,26.2,10,52,0,3.1,6.5,16.5,143.91666666666666
14.7,24,9,44,0,3.2,4.1,11.1,100.25
16.1,23.4,11.2,46,0,2.6,15.7,24.1,165.0
15.6,23,10,65,0,2.4,7.8,14.8,116.45833333333333
15.7,24.3,8.1,51,0,2.4,8.9,22.2,143.0
18.2,26.6,9.7,34,0,3.4,9.6,14.8,231.125
19.9,26.7,13.5,41,0,3.2,12.6,18.3,218.66666666666666
16.1,26.7,12,80,1.02,1.8,14.3,24.1,211.0
18.4,25.3,14,75,11.94,2.1,12.2,51.9,187.5
19.4,26,13.5,72,0,2.3,8.3,20.6,130.16666666666666
16.4,22.8,10.5,69,0,2.4,4.3,11.1,123.125
17.1,24,11.6,57,0,2.4,4.6,14.8,120.91666666666667
18.3,25.9,10.4,51,0,2.4,2.8,11.1,153.625
21.4,28.6,13.5,41,0,3.1,5.4,11.1,130.33333333333334
22.4,29.8,13.9,40,0,3.1,6.9,13,110.70833333333333
23.4,30.3,16.4,39,0,2.9,8.9,18.3,138.5
21.3,28.8,14.4,32,0,3.9,6.7,14.8,75.75
22.3,30.1,13,32,0,3.4,5.7,11.1,146.54166666666666
